slug,dob,birthplace,pcs_ranking,grand_tours,classics
connor-swift,30thOctober 1995,Thorne,,6,19
ben-swift,5thNovember 1987,Rotherham,825,10,25
jack-haig,6thSeptember 1993,Southport,1573,16,12
bob-jungels,22ndSeptember 1992,Rollingen,640,14,20
peter-oxenberg-hansen,23rdOctober 2005,Nørreby,,,
lucas-hamilton,12thFebruary 1996,Ararat,2117,7,5
laurens-de-plus,4thSeptember 1995,Aalst,1867,8,14
oscar-rodriguez,6thMay 1995,Burlada,,6,1
ben-healy,11thSeptember 2000,Kingswinford,1115,3,7
alex-baudin,25thMay 2001,Albertville,,3,4
richard-carapaz,29thMay 1993,El Carmelo,204,14,5
michael-valgren-andersen,7thFebruary 1992,Østerild,691,12,24
mikkel-honore,21stJanuary 1997,Fredericia,,6,14
luke-lamperti,31stDecember 2002,Santa Rosa,,2,6
georg-steinhauser,21stOctober 2001,Lindenberg im Allgäu,,2,1
madis-mihkels,31stMay 2003,Tartu,,3,6
lukas-nerurkar,14thNovember 2003,Truro,,1,2
neilson-powless,3rdSeptember 1996,Eglin,709,7,14
harry-sweeny,9thJuly 1998,Warwick,,4,11
markel-beloki,27thJuly 2005,Vitoria-Gasteiz,,2,
vincenzo-albanese,12thNovember 1996,Oliveto Citra,2088,5,8
marijn-van-den-berg,19thJuly 1999,De Meern,1750,3,4
jefferson-alexander-cepeda,16thJune 1998,El Playón de San Francisco,,8,1
archie-ryan,16thNovember 2001,Sydney,,1,4
noah-hobbs,23rdJuly 2004,Barnstaple,,,
michael-leonard1,26thMarch 2004,Oakville,,,1
jardi-christiaan-van-der-lee,6thAugust 2001,Schiedam,,2,2
kasper-asgreen,8thFebruary 1995,Kolding,651,9,21
james-shaw,13thJune 1996,Nottingham,,6,6
sean-quinn,10thMay 2000,Los Angeles,,3,1
darren-rafferty,1stJuly 2003,,,3,
max-walker,12thJuly 2001,Douglas,,,6
colby-simmons,16thOctober 2003,Durango,,,4
alastair-mackellar,20thJanuary 2002,Nambour,,,3
matthias-schwarzbacher,22ndDecember 2005,Brezno,,,2
samuele-battistella,14thNovember 1998,Castelfranco Veneto,,5,9
mattia-agostinacchio,13thSeptember 2007,Aosta,,,
ion-izagirre,4thFebruary 1989,Ormaiztegi,282,19,29
alex-aranburu,19thSeptember 1995,Ezkio-Itsaso,913,8,13
stanislaw-aniolkowski,20thJanuary 1997,Warsaw,,2,7
